,Time,Open_buy,High_buy,Low_buy,Close_buy,Vol_buy,Open_sell,High_sell,Low_sell,Close_sell,Vol_sell
8509,41289,1650900,1650900,1650900,1650900,4,1651100,1651100,1651100,1651100,4
8510,41290,1650900,1650900,1650900,1650900,4,1651100,1651100,1651100,1651100,4
8511,41291,1650900,1651000,1650900,1651000,6,1651100,1651100,1651100,1651100,6
8512,41292,1651000,1651000,1650900,1650900,14,1651100,1651100,1651100,1651100,14
8513,41293,1650900,1650900,1650900,1650900,16,1651000,1651000,1651000,1651000,16
8514,41294,1650900,1650900,1650900,1650900,1,1651000,1651000,1651000,1651000,1
8515,41295,1650900,1650900,1650900,1650900,1,1651000,1651000,1651000,1651000,1
8516,41296,1650900,1650900,1650900,1650900,5,1651000,1651000,1651000,1651000,5
8517,41298,1650900,1650900,1650900,1650900,1,1651000,1651000,1651000,1651000,1
8518,41299,1650900,1650900,1650900,1650900,4,1651000,1651000,1651000,1651000,4
8519,41300,1650900,1650900,1650700,1650700,37,1650900,1650900,1650800,1650800,37
8520,41301,1650700,1650700,1650600,1650600,21,1650800,1650800,1650700,1650700,21
8521,41302,1650600,1650600,1650600,1650600,5,1650700,1650700,1650700,1650700,5
8522,41303,1650600,1650700,1650500,1650500,28,1650700,1650800,1650700,1650800,28
8523,41304,1650500,1650600,1650500,1650600,5,1650800,1650800,1650800,1650800,5
8524,41305,1650600,1650600,1650600,1650600,12,1650700,1650800,1650700,1650700,12
8525,41306,1650600,1650600,1650600,1650600,19,1650700,1650800,1650800,1650800,19
8526,41307,1650600,1650600,1650600,1650600,9,1650800,1650800,1650800,1650800,9
8527,41308,1650600,1650600,1650600,1650600,16,1650800,1650800,1650700,1650700,16
8528,41309,1650600,1650600,1650600,1650600,1,1650700,1650700,1650700,1650700,1
8529,41310,1650600,1650600,1650600,1650600,12,1650700,1650700,1650700,1650700,12
8530,41311,1650600,1650600,1650600,1650600,4,1650700,1650700,1650700,1650700,4
