,time_diff,close,volume,match_hr,match_min,match_sec,match_ms,time_in_ms
1900,543,1794500,1,8,47,41,866,31661866
1901,332,1794500,1,8,47,42,198,31662198
1902,328,1794400,3,8,47,42,526,31662526
1903,70,1794400,2,8,47,42,596,31662596
1904,120,1794500,1,8,47,42,716,31662716
1905,27,1794500,1,8,47,42,743,31662743
1906,549,1794400,1,8,47,43,292,31663292
1907,1,1794500,2,8,47,43,293,31663293
1908,11,1794300,1,8,47,43,304,31663304
1909,1117,1794600,2,8,47,44,421,31664421
1910,334,1794600,1,8,47,44,755,31664755
1911,128,1794400,1,8,47,44,883,31664883
1912,210,1794400,2,8,47,45,93,31665093
1913,141,1794500,2,8,47,45,234,31665234
1914,190,1794400,1,8,47,45,424,31665424
1915,163,1794300,2,8,47,45,587,31665587
1916,0,1794300,1,8,47,45,587,31665587
1917,0,1794300,7,8,47,45,587,31665587
1918,0,1794300,1,8,47,45,587,31665587
1919,0,1794300,1,8,47,45,587,31665587
1920,72,1794300,1,8,47,45,659,31665659
1921,4,1794200,1,8,47,45,663,31665663
1922,63,1794400,1,8,47,45,726,31665726
1923,59,1794400,1,8,47,45,785,31665785
1924,809,1794200,1,8,47,46,594,31666594
1925,663,1794200,1,8,47,47,257,31667257
1926,67,1794200,1,8,47,47,324,31667324
1927,163,1794200,2,8,47,47,487,31667487
1928,40,1794400,2,8,47,47,527,31667527
1929,1052,1794400,1,8,47,48,579,31668579
1930,1026,1794400,4,8,47,49,605,31669605
1932,1,1794500,3,8,47,49,606,31669606
1933,0,1794500,4,8,47,49,606,31669606
1934,496,1794300,2,8,47,50,102,31670102
1935,877,1794300,1,8,47,50,979,31670979
1936,397,1794400,1,8,47,51,376,31671376
1937,283,1794300,1,8,47,51,659,31671659
1938,996,1794300,3,8,47,52,655,31672655
1939,195,1794300,1,8,47,52,850,31672850
1940,0,1794300,1,8,47,52,850,31672850
1941,0,1794300,1,8,47,52,850,31672850
1943,4,1794000,3,8,47,52,854,31672854
1944,41,1793900,7,8,47,52,895,31672895
1945,563,1793900,2,8,47,53,458,31673458
1946,114,1794000,3,8,47,53,572,31673572
1947,469,1793800,1,8,47,54,41,31674041
1948,19,1793800,1,8,47,54,60,31674060
1949,99,1793800,1,8,47,54,159,31674159
1950,1061,1793800,1,8,47,55,220,31675220
1951,40,1793900,1,8,47,55,260,31675260
1952,543,1793900,1,8,47,55,803,31675803
1953,339,1794000,1,8,47,56,142,31676142
1954,109,1793900,1,8,47,56,251,31676251
1955,211,1793800,1,8,47,56,462,31676462
1956,835,1793800,1,8,47,57,297,31677297
1957,89,1793800,1,8,47,57,386,31677386
1958,278,1793900,1,8,47,57,664,31677664
1959,319,1793800,9,8,47,57,983,31677983
1960,10,1793800,1,8,47,57,993,31677993
1961,302,1793700,1,8,47,58,295,31678295
1962,685,1793800,1,8,47,58,980,31678980
1963,66,1793800,1,8,47,59,46,31679046
1965,53,1793800,5,8,47,59,99,31679099
1966,1,1793800,5,8,47,59,100,31679100
1967,211,1793800,1,8,47,59,311,31679311
1968,473,1794000,2,8,47,59,784,31679784
1969,296,1794000,3,8,48,0,80,31680080
1970,1,1794000,3,8,48,0,81,31680081
1971,0,1794000,2,8,48,0,81,31680081
1972,0,1794000,1,8,48,0,81,31680081
1973,91,1794200,1,8,48,0,172,31680172
1974,81,1794000,1,8,48,0,253,31680253
1975,77,1794000,3,8,48,0,330,31680330
1976,1,1794000,3,8,48,0,331,31680331
1977,0,1794100,1,8,48,0,331,31680331
1978,0,1794100,1,8,48,0,331,31680331
1979,63,1794200,1,8,48,0,394,31680394
1980,43,1794000,2,8,48,0,437,31680437
1981,76,1793900,1,8,48,0,513,31680513
1982,152,1793900,2,8,48,0,665,31680665
1984,47,1794000,2,8,48,0,712,31680712
1985,374,1794000,3,8,48,1,86,31681086
1987,109,1794000,3,8,48,1,195,31681195
1988,157,1793900,2,8,48,1,352,31681352
1989,104,1793900,1,8,48,1,456,31681456
1990,247,1793800,2,8,48,1,703,31681703
1991,128,1793800,1,8,48,1,831,31681831
1992,80,1793800,2,8,48,1,911,31681911
1993,20,1793800,1,8,48,1,931,31681931
1994,421,1793800,3,8,48,2,352,31682352
1995,340,1793700,4,8,48,2,692,31682692
1996,196,1793700,2,8,48,2,888,31682888
1997,573,1793700,2,8,48,3,461,31683461
1998,240,1793700,1,8,48,3,701,31683701
1999,289,1793700,1,8,48,3,990,31683990
2000,212,1793700,1,8,48,4,202,31684202
2001,755,1793700,1,8,48,4,957,31684957
2002,753,1793700,3,8,48,5,710,31685710
2003,35,1793700,2,8,48,5,745,31685745
2004,289,1793600,9,8,48,6,34,31686034
2005,221,1793600,1,8,48,6,255,31686255
2006,2,1793600,1,8,48,6,257,31686257
2007,323,1793500,4,8,48,6,580,31686580
2008,211,1793500,2,8,48,6,791,31686791
2009,225,1793500,2,8,48,7,16,31687016
2011,85,1793500,1,8,48,7,101,31687101
2012,1440,1793400,4,8,48,8,541,31688541
2014,467,1793400,1,8,48,9,8,31689008
2015,437,1793500,1,8,48,9,445,31689445
2016,693,1793500,1,8,48,10,138,31690138
2017,318,1793600,4,8,48,10,456,31690456
2018,621,1793600,1,8,48,11,77,31691077
2019,517,1793600,1,8,48,11,594,31691594
2020,2,1793600,1,8,48,11,596,31691596
2021,84,1793600,1,8,48,11,680,31691680
2022,52,1793700,1,8,48,11,732,31691732
2023,359,1793600,1,8,48,12,91,31692091
2024,1,1793600,5,8,48,12,92,31692092
2025,281,1793700,1,8,48,12,373,31692373
2026,876,1793600,4,8,48,13,249,31693249
2028,388,1793600,2,8,48,13,637,31693637
2029,550,1793600,1,8,48,14,187,31694187
2030,1236,1793600,1,8,48,15,423,31695423
2031,72,1793700,2,8,48,15,495,31695495
2032,157,1793600,1,8,48,15,652,31695652
2033,1270,1793600,1,8,48,16,922,31696922
2034,151,1793700,4,8,48,17,73,31697073
2035,1795,1793500,1,8,48,18,868,31698868
2036,439,1793500,1,8,48,19,307,31699307
2037,315,1793700,2,8,48,19,622,31699622
2038,351,1793600,2,8,48,19,973,31699973
2039,566,1793500,1,8,48,20,539,31700539
2040,175,1793500,1,8,48,20,714,31700714
2041,537,1793500,1,8,48,21,251,31701251
2042,215,1793500,1,8,48,21,466,31701466
2043,1088,1793700,1,8,48,22,554,31702554
2044,15,1793700,1,8,48,22,569,31702569
2045,0,1793700,2,8,48,22,569,31702569
2046,436,1793800,1,8,48,23,5,31703005
2047,104,1793800,1,8,48,23,109,31703109
2048,753,1793600,3,8,48,23,862,31703862
2050,3,1793500,1,8,48,23,865,31703865
2051,1,1793500,18,8,48,23,866,31703866
2052,0,1793500,3,8,48,23,866,31703866
2053,512,1793500,5,8,48,24,378,31704378
2054,139,1793400,2,8,48,24,517,31704517
2056,354,1793500,1,8,48,24,871,31704871
2057,416,1793500,1,8,48,25,287,31705287
2058,64,1793500,2,8,48,25,351,31705351
2059,1259,1793400,1,8,48,26,610,31706610
2060,147,1793400,1,8,48,26,757,31706757
2061,61,1793500,1,8,48,26,818,31706818
2062,686,1793400,1,8,48,27,504,31707504
2063,97,1793500,1,8,48,27,601,31707601
2064,206,1793300,1,8,48,27,807,31707807
2065,263,1793300,1,8,48,28,70,31708070
2066,757,1793500,1,8,48,28,827,31708827
2067,701,1793300,6,8,48,29,528,31709528
2069,892,1793400,6,8,48,30,420,31710420
2070,63,1793400,1,8,48,30,483,31710483
2071,95,1793300,1,8,48,30,578,31710578
2072,150,1793300,1,8,48,30,728,31710728
2073,108,1793300,1,8,48,30,836,31710836
2074,107,1793500,7,8,48,30,943,31710943
2075,0,1793500,7,8,48,30,943,31710943
2076,0,1793500,7,8,48,30,943,31710943
2077,0,1793500,7,8,48,30,943,31710943
2079,54,1793900,1,8,48,30,997,31710997
2080,33,1793800,1,8,48,31,30,31711030
2081,1966,1793600,1,8,48,32,996,31712996
2082,1804,1793700,1,8,48,34,800,31714800
2083,747,1793500,4,8,48,35,547,31715547
2084,2561,1793400,1,8,48,38,108,31718108
2085,1003,1793600,2,8,48,39,111,31719111
2086,569,1793500,1,8,48,39,680,31719680
2087,522,1793600,2,8,48,40,202,31720202
2088,2428,1793700,1,8,48,42,630,31722630
2089,1,1793700,5,8,48,42,631,31722631
2090,442,1793600,1,8,48,43,73,31723073
2091,2821,1793800,16,8,48,45,894,31725894
2093,589,1793800,1,8,48,46,483,31726483
2094,235,1793800,1,8,48,46,718,31726718
2095,2180,1793600,1,8,48,48,898,31728898
2096,78,1793800,1,8,48,48,976,31728976
2097,128,1793600,2,8,48,49,104,31729104
2098,27,1793600,2,8,48,49,131,31729131
2099,22,1793500,1,8,48,49,153,31729153
2100,1106,1793600,1,8,48,50,259,31730259
2101,2265,1793500,13,8,48,52,524,31732524
2102,0,1793500,1,8,48,52,524,31732524
2103,1,1793500,1,8,48,52,525,31732525
2104,2,1793400,1,8,48,52,527,31732527
2105,25,1793500,1,8,48,52,552,31732552
2106,1,1793500,1,8,48,52,553,31732553
2107,1708,1793400,1,8,48,54,261,31734261
2108,68,1793600,5,8,48,54,329,31734329
2110,1138,1793600,1,8,48,55,467,31735467
2111,0,1793700,9,8,48,55,467,31735467
2112,757,1793500,1,8,48,56,224,31736224
2113,3614,1793600,1,8,48,59,838,31739838
2114,1087,1793600,5,8,49,0,925,31740925
2115,197,1793700,2,8,49,1,122,31741122
2116,565,1793600,1,8,49,1,687,31741687
2117,1176,1793600,4,8,49,2,863,31742863
2118,428,1793600,1,8,49,3,291,31743291
2119,72,1793600,1,8,49,3,363,31743363
2120,806,1793700,4,8,49,4,169,31744169
2122,851,1793600,1,8,49,5,20,31745020
2123,1132,1793600,1,8,49,6,152,31746152
2124,308,1793600,1,8,49,6,460,31746460
2125,1872,1793700,6,8,49,8,332,31748332
2126,1,1793800,2,8,49,8,333,31748333
2127,20,1793800,4,8,49,8,353,31748353
2128,1,1793900,1,8,49,8,354,31748354
2129,0,1793900,7,8,49,8,354,31748354
2130,148,1794000,1,8,49,8,502,31748502
2131,2,1794000,1,8,49,8,504,31748504
2132,166,1793800,2,8,49,8,670,31748670
2133,16,1794000,1,8,49,8,686,31748686
2134,289,1793800,1,8,49,8,975,31748975
2135,74,1793800,1,8,49,9,49,31749049
2136,81,1794000,12,8,49,9,130,31749130
2137,3,1794100,1,8,49,9,133,31749133
2138,0,1794100,2,8,49,9,133,31749133
2139,167,1794100,1,8,49,9,300,31749300
2140,0,1794200,1,8,49,9,300,31749300
2141,289,1794100,6,8,49,9,589,31749589
2142,0,1794100,6,8,49,9,589,31749589
2143,0,1794100,6,8,49,9,589,31749589
2145,2,1793900,1,8,49,9,591,31749591
2146,1,1793900,1,8,49,9,592,31749592
2147,0,1793900,1,8,49,9,592,31749592
2148,1,1793900,1,8,49,9,593,31749593
2149,0,1793900,1,8,49,9,593,31749593
2150,38,1793800,1,8,49,9,631,31749631
2151,391,1793900,2,8,49,10,22,31750022
2152,584,1793900,4,8,49,10,606,31750606
2154,105,1793800,2,8,49,10,711,31750711
2155,0,1793900,2,8,49,10,711,31750711
2156,1518,1793800,1,8,49,12,229,31752229
2157,97,1793800,2,8,49,12,326,31752326
2158,595,1793900,1,8,49,12,921,31752921
2159,127,1793700,1,8,49,13,48,31753048
2160,1494,1793800,1,8,49,14,542,31754542
2161,164,1793700,1,8,49,14,706,31754706
2162,553,1793800,1,8,49,15,259,31755259
2163,993,1793800,1,8,49,16,252,31756252
2164,421,1793700,1,8,49,16,673,31756673
2165,1452,1793700,1,8,49,18,125,31758125
2166,163,1793800,2,8,49,18,288,31758288
2167,1115,1793800,1,8,49,19,403,31759403
2168,1306,1793700,1,8,49,20,709,31760709
2169,621,1793800,1,8,49,21,330,31761330
2170,621,1793800,1,8,49,21,951,31761951
2171,46,1793800,1,8,49,21,997,31761997
2172,0,1793800,3,8,49,21,997,31761997
2173,1,1793900,1,8,49,21,998,31761998
2174,2386,1793800,1,8,49,24,384,31764384
2175,1151,1793800,1,8,49,25,535,31765535
2176,835,1793800,1,8,49,26,370,31766370
2177,1739,1793800,4,8,49,28,109,31768109
2178,117,1793900,1,8,49,28,226,31768226
2179,274,1793900,3,8,49,28,500,31768500
2180,261,1793800,1,8,49,28,761,31768761
2181,1537,1793800,5,8,49,30,298,31770298
2182,765,1793800,1,8,49,31,63,31771063
2183,106,1793900,1,8,49,31,169,31771169
2184,1395,1793800,1,8,49,32,564,31772564
2185,33,1793900,4,8,49,32,597,31772597
2187,945,1794000,7,8,49,33,542,31773542
2188,0,1794000,7,8,49,33,542,31773542
2189,0,1794000,7,8,49,33,542,31773542
2191,256,1794200,2,8,49,33,798,31773798
2193,219,1794100,1,8,49,34,17,31774017
2194,160,1794300,1,8,49,34,177,31774177
2195,294,1794100,4,8,49,34,471,31774471
2196,413,1794000,3,8,49,34,884,31774884
2197,380,1794100,1,8,49,35,264,31775264
2198,680,1794200,3,8,49,35,944,31775944
2199,1440,1794300,5,8,49,37,384,31777384
2200,0,1794400,1,8,49,37,384,31777384
2201,1,1794400,6,8,49,37,385,31777385
2202,153,1794300,3,8,49,37,538,31777538
2204,126,1794300,1,8,49,37,664,31777664
2205,578,1794400,2,8,49,38,242,31778242
2206,496,1794400,1,8,49,38,738,31778738
2207,1,1794400,1,8,49,38,739,31778739
2208,309,1794500,2,8,49,39,48,31779048
2209,1116,1794400,1,8,49,40,164,31780164
2210,172,1794400,1,8,49,40,336,31780336
2211,88,1794400,2,8,49,40,424,31780424
2212,150,1794400,3,8,49,40,574,31780574
2213,335,1794500,2,8,49,40,909,31780909
2214,959,1794500,1,8,49,41,868,31781868
2215,0,1794500,1,8,49,41,868,31781868
2216,839,1794500,5,8,49,42,707,31782707
2217,225,1794500,1,8,49,42,932,31782932
2218,94,1794500,3,8,49,43,26,31783026
2219,0,1794500,1,8,49,43,26,31783026
2220,72,1794500,1,8,49,43,98,31783098
2221,93,1794500,1,8,49,43,191,31783191
2222,413,1794500,1,8,49,43,604,31783604
2223,97,1794500,1,8,49,43,701,31783701
2224,273,1794500,1,8,49,43,974,31783974
2225,162,1794500,1,8,49,44,136,31784136
2226,16,1794400,1,8,49,44,152,31784152
2227,220,1794500,1,8,49,44,372,31784372
2228,385,1794400,1,8,49,44,757,31784757
2229,183,1794400,1,8,49,44,940,31784940
2230,85,1794500,1,8,49,45,25,31785025
2231,247,1794400,3,8,49,45,272,31785272
2232,257,1794500,1,8,49,45,529,31785529
2233,379,1794400,1,8,49,45,908,31785908
2234,320,1794400,1,8,49,46,228,31786228
2235,158,1794500,1,8,49,46,386,31786386
2236,62,1794500,1,8,49,46,448,31786448
2237,221,1794400,5,8,49,46,669,31786669
2238,197,1794400,1,8,49,46,866,31786866
2239,286,1794400,1,8,49,47,152,31787152
2240,16,1794400,1,8,49,47,168,31787168
2241,2,1794400,2,8,49,47,170,31787170
2242,1601,1794400,1,8,49,48,771,31788771
2243,446,1794300,1,8,49,49,217,31789217
2244,288,1794300,3,8,49,49,505,31789505
2245,338,1794200,3,8,49,49,843,31789843
2246,87,1794400,6,8,49,49,930,31789930
2247,790,1794400,1,8,49,50,720,31790720
2248,442,1794500,2,8,49,51,162,31791162
2249,343,1794400,1,8,49,51,505,31791505
2250,1216,1794400,8,8,49,52,721,31792721
2251,2,1794300,4,8,49,52,723,31792723
2252,55,1794300,1,8,49,52,778,31792778
2253,34,1794300,2,8,49,52,812,31792812
2254,95,1794300,1,8,49,52,907,31792907
2255,437,1794400,1,8,49,53,344,31793344
2256,358,1794300,1,8,49,53,702,31793702
2257,67,1794400,4,8,49,53,769,31793769
2258,556,1794300,1,8,49,54,325,31794325
2259,425,1794400,49,8,49,54,750,31794750
2261,115,1794500,1,8,49,54,865,31794865
